Nombre,Edad,Altura,Peso,Nacionalidad,General,Potencia,Club,Valor_euro,Pie_habil,Ritmo,Disparo,Total_pases,Regate,Defensa,Fisico,Finalización,Precision_cabeza,Volea,Control_balon,Aceleracion,Sprint,Agilidad,Reaccion,Balance,Potencia_disparo,Salto,Resistencia,Fuerza,Tiros_largos,Agrecion,Intercepciones,Posicionamiento,Vision,Penaltis
23,Bernardo Silva,27,173,64,Portugal,88,88,Manchester City,97500000,Left,77,78,84,92,61,68,79,51,78,91,84,71,94,87,92,79,51,93,54,78,75,60,83,85,68
24,João Cancelo,28,182,74,Portugal,88,88,Manchester City,82500000,Right,85,73,85,85,81,73,69,72,62,87,86,84,79,85,78,80,72,91,62,79,76,82,81,85,52
25,Marquinhos,28,183,75,Brazil,88,90,Paris Saint-Germain,92000000,Right,79,56,75,74,89,80,59,88,35,79,77,81,68,88,66,65,92,82,78,45,81,89,70,76,52
28,T. Kroos,32,183,76,Germany,88,88,Real Madrid CF,72000000,Right,53,81,90,81,71,68,77,58,82,88,55,52,63,90,71,89,32,75,72,86,60,80,76,89,73
29,L. Modrić,36,172,66,Croatia,88,88,Real Madrid CF,29000000,Right,73,76,89,88,72,66,72,55,76,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82
30,A. Rüdiger,29,190,85,Germany,87,88,Real Madrid CF,73500000,Right,82,53,71,67,86,85,40,82,34,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40
31,Rodri,26,191,82,Spain,87,89,Manchester City,88500000,Right,58,72,78,79,83,84,64,80,59,85,54,62,65,82,65,89,72,88,84,82,82,83,75,83,46
32,Fabinho,28,188,78,Brazil,87,88,Liverpool,77000000,Right,66,69,78,77,86,83,63,75,47,81,64,68,63,86,64,81,75,88,81,70,85,88,70,76,90
34,T. Müller,32,185,76,Germany,87,87,FC Bayern München,63000000,Right,69,84,83,80,56,71,88,81,84,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70
36,M. Verratti,29,165,60,Italy,87,87,Paris Saint-Germain,77500000,Right,60,61,87,91,79,66,60,57,64,92,65,55,90,87,93,60,66,75,53,58,89,85,78,89,64
38,T. Alexander-Arnold,23,180,69,England,87,90,Liverpool,100500000,Right,76,69,89,80,80,73,62,69,63,86,76,76,73,83,73,82,66,89,66,75,71,83,78,90,55
39,A. Robertson,28,178,64,Scotland,87,87,Liverpool,72000000,Left,80,61,81,81,82,76,55,67,32,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55
40,K. Koulibaly,31,187,89,Senegal,87,87,Chelsea,54500000,Right,82,33,59,68,88,85,25,84,14,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33
41,L. Goretzka,27,189,82,Germany,87,88,FC Bayern München,91000000,Right,78,82,82,83,81,86,82,86,71,86,78,78,76,87,73,85,80,86,88,86,82,86,85,84,60
42,F. de Jong,25,180,74,Netherlands,87,92,FC Barcelona,116500000,Right,82,69,86,87,77,78,72,72,70,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53
43,Thiago,31,174,70,Spain,86,86,Liverpool,55500000,Right,61,72,87,90,72,69,68,54,82,92,69,55,90,84,90,75,86,76,60,73,80,82,75,88,75
44,C. Immobile,32,185,85,Italy,86,86,Lazio,55000000,Right,85,87,68,80,39,75,91,81,85,81,84,86,75,87,84,86,82,78,74,80,73,40,90,71,88
45,R. Lukaku,29,191,94,Belgium,86,86,Inter,68000000,Left,80,85,75,77,38,82,88,87,79,78,72,86,59,86,52,87,74,67,95,75,71,27,86,75,88
46,D. Alaba,30,180,78,Austria,86,86,Real Madrid CF,55500000,Left,79,71,83,80,85,77,63,77,67,85,79,79,76,88,78,82,81,74,78,78,78,87,73,78,79
47,R. Sterling,27,170,69,England,86,86,Chelsea,72500000,Right,90,80,78,86,45,67,82,46,67,84,94,86,94,91,93,78,57,79,65,80,59,30,91,80,70
48,R. Mahrez,31,179,67,Algeria,86,86,Manchester City,56500000,Left,80,83,81,90,38,60,84,56,76,90,84,77,92,83,88,84,56,75,57,83,48,39,83,83,80
49,P. Dybala,28,177,75,Argentina,86,86,Roma,69500000,Left,80,85,85,90,40,59,83,58,88,93,84,76,88,79,90,84,74,68,60,89,43,42,82,91,84
50,Thiago Silva,37,183,79,Brazil,86,86,Chelsea,12000000,Right,49,54,73,72,87,76,40,82,61,79,45,52,62,83,66,71,88,66,80,65,76,89,59,71,60
53,Bruno Fernandes,27,179,69,Portugal,86,86,Manchester United,72500000,Right,72,86,88,81,67,76,83,64,87,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90
54,Parejo,33,182,74,Spain,86,86,Villarreal CF,42000000,Right,50,83,90,80,71,68,83,61,72,86,52,49,63,79,72,81,49,76,70,88,58,80,81,90,88
55,A. Laporte,28,191,85,Spain,86,87,Manchester City,64500000,Left,61,50,72,69,86,79,45,84,40,78,55,65,57,87,55,68,80,67,84,47,81,87,54,65,44
56,K. Coman,26,179,75,France,86,87,FC Bayern München,80000000,Right,92,77,79,87,30,61,76,61,78,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70
57,M. Brozović,29,181,68,Croatia,86,86,Inter,58000000,Right,69,74,81,81,81,78,69,70,65,84,70,68,79,83,84,80,70,94,68,84,86,84,67,83,69
58,N. Barella,25,172,68,Italy,86,89,Inter,89500000,Right,79,76,83,84,77,81,73,53,80,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73
59,L. Martínez,24,174,72,Argentina,86,90,Inter,98500000,Right,83,83,72,85,48,84,88,84,90,86,86,80,86,89,89,80,89,80,84,76,90,45,86,80,74
60,M. Škriniar,27,188,80,Slovakia,86,87,Inter,68500000,Right,78,41,57,69,88,86,42,81,40,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56
61,C. Nkunku,24,175,73,France,86,89,RB Leipzig,94000000,Right,88,81,83,88,65,66,86,61,70,88,87,89,88,85,90,79,59,78,64,78,59,67,86,85,67
63,Vinícius Jr.,21,176,73,Brazil,86,92,Real Madrid CF,109000000,Right,95,79,74,90,29,67,84,50,72,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65
64,S. Milinković-Savić,27,191,76,Serbia,86,87,Lazio,77500000,Right,68,80,82,82,79,86,82,86,74,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59
65,N. Süle,26,195,99,Germany,85,87,Borussia Dortmund,59000000,Right,71,48,66,59,85,83,30,84,46,64,60,80,34,82,44,78,60,65,94,62,86,81,42,66,32
66,N. Fekir,28,173,75,France,85,85,Real Betis Balompié,54500000,Left,83,82,82,87,38,80,83,49,77,86,88,79,85,81,91,84,64,80,81,83,79,34,82,87,74
67,S. Gnabry,26,176,77,Germany,85,85,FC Bayern München,59000000,Right,82,84,79,85,43,69,86,42,83,82,85,79,85,82,88,87,55,76,69,82,63,38,86,82,68
68,İ. Gündoğan,31,180,80,Germany,85,85,Manchester City,44000000,Right,64,80,85,85,72,72,81,50,75,90,66,63,77,86,77,79,61,74,73,81,70,75,83,86,80
69,K. Walker,32,183,83,England,85,85,Manchester City,37500000,Right,91,63,77,78,80,82,51,74,57,81,87,94,66,85,69,86,83,86,80,69,84,80,68,69,63
70,P. Aubameyang,33,187,80,Gabon,85,85,Chelsea,34500000,Right,87,84,74,79,36,68,87,76,82,81,85,89,77,84,67,82,75,74,74,79,43,48,88,74,82
71,Jordi Alba,33,170,68,Spain,85,85,FC Barcelona,28000000,Left,84,70,82,82,77,70,73,70,75,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78,59
72,Sergio Busquets,33,189,76,Spain,85,85,FC Barcelona,26500000,Right,42,62,79,79,82,73,67,68,50,85,40,43,66,81,50,61,66,75,70,54,79,84,76,83,60
73,Iago Aspas,34,176,67,Spain,85,85,RC Celta de Vigo,26000000,Left,82,85,79,86,35,63,90,76,84,86,78,85,87,84,72,79,66,70,60,80,63,39,86,81,82
74,P. Pogba,29,191,84,France,85,85,Juventus,52500000,Right,67,80,85,85,62,80,74,74,84,87,60,72,71,77,65,90,80,65,88,84,79,62,77,90,80
75,M. Depay,28,176,78,Netherlands,85,85,FC Barcelona,55000000,Right,83,84,82,86,30,79,84,65,75,87,82,84,80,84,81,87,69,79,83,83,72,28,85,85,76
76,Jorginho,30,180,68,Italy,85,85,Chelsea,51500000,Right,54,67,86,81,73,73,64,56,71,87,63,47,75,82,72,71,58,87,66,62,79,81,69,88,89
77,M. Acuña,30,172,69,Argentina,85,85,Sevilla FC,46500000,Left,76,74,83,87,80,83,66,60,68,88,77,76,83,84,90,82,63,91,80,81,84,80,81,82,76
78,Gerard Moreno,30,180,77,Spain,85,85,Villarreal CF,53000000,Left,78,86,77,83,46,72,89,82,81,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85
79,Y. Carrasco,28,181,73,Belgium,85,85,Atlético de Madrid,54500000,Right,89,82,80,87,53,67,81,53,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80,81
80,F. Kostić,29,184,84,Serbia,85,85,Juventus,53000000,Left,84,78,82,82,68,80,76,59,75,82,87,82,76,82,79,86,67,90,77,78,80,63,79,81,66
81,J. Vardy,35,179,74,England,85,85,Leicester City,23000000,Right,84,84,70,79,52,72,90,78,85,83,85,84,74,88,75,87,80,73,65,65,86,49,90,74,85
82,Pedri,19,174,61,Spain,85,93,FC Barcelona,116000000,Right,79,67,81,87,68,73,68,50,56,88,82,76,88,85,90,66,65,88,70,67,62,72,77,88,53
83,P. Foden,22,171,69,England,85,92,Manchester City,109500000,Left,82,78,81,88,56,60,79,47,59,91,86,78,91,83,91,82,49,83,47,77,64,59,82,85,64
84,M. de Ligt,22,189,89,Netherlands,85,89,FC Bayern München,71000000,Right,75,59,61,69,84,87,50,85,45,73,69,79,60,84,62,82,93,75,93,66,83,81,44,45,40
85,P. Schick,26,191,86,Czech Republic,85,87,Bayer 04 Leverkusen,67500000,Left,78,83,71,83,36,76,87,86,80,85,74,82,83,82,67,82,75,69,83,80,65,25,86,74,67
86,T. Hernández,24,184,81,France,85,90,AC Milan,76000000,Left,93,72,76,81,78,83,69,74,66,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50
87,Diogo Jota,25,178,73,Portugal,85,89,Liverpool,76000000,Right,85,83,75,85,57,77,86,84,79,84,88,82,86,87,85,85,81,83,71,75,85,56,89,77,69
90,M. Reus,33,180,71,Germany,85,85,Borussia Dortmund,33500000,Right,70,84,84,85,53,65,84,44,87,86,75,66,83,86,81,86,68,72,66,81,51,56,84,86,79
91,L. Hernández,26,184,79,France,84,86,FC Bayern München,46000000,Left,77,54,70,71,84,80,53,82,46,76,77,77,70,85,72,62,86,76,78,51,90,83,62,63,42
92,Sergio Ramos,36,184,82,Spain,84,84,Paris Saint-Germain,7500000,Right,61,69,73,70,83,77,65,88,69,78,66,56,66,85,65,79,91,56,81,64,90,84,69,71,90
93,A. Gómez,34,167,68,Argentina,84,84,Sevilla FC,20000000,Right,86,78,83,85,39,54,77,38,72,85,90,83,91,80,93,79,67,71,44,82,56,40,78,85,72
95,D. Mertens,35,169,61,Belgium,84,84,Galatasaray SK,18000000,Right,78,82,80,87,34,49,84,40,70,88,82,74,85,80,92,80,58,65,37,82,59,36,82,84,79
96,L. Suárez,35,182,86,Uruguay,84,84,Club Nacional de Football,18000000,Right,70,86,78,78,46,81,87,84,88,81,73,68,70,86,77,86,69,71,84,84,87,39,90,80,82
97,D. Tadić,33,181,76,Serbia,84,84,Ajax,26500000,Left,68,81,86,84,43,77,83,66,80,87,68,68,73,84,84,79,59,88,81,77,56,41,85,88,84
98,D. Berardi,27,183,72,Italy,84,84,U.S. Sassuolo Calcio,45000000,Left,82,81,81,86,36,71,82,62,78,88,82,82,92,84,87,83,65,74,64,80,85,26,82,83,76
99,T. Partey,29,185,77,Ghana,84,84,Arsenal,36000000,Right,65,71,81,80,80,83,66,68,56,83,61,68,67,82,50,86,83,82,84,78,84,81,70,85,49
101,H. Çalhanoğlu,28,178,76,Turkey,84,84,Inter,42000000,Right,67,80,85,86,68,64,75,53,74,88,72,62,83,84,79,85,45,78,55,87,73,76,79,86,81
102,M. Kovačić,28,176,80,Croatia,84,84,Chelsea,42000000,Right,70,69,83,88,71,71,61,42,76,89,77,65,86,82,84,79,75,79,65,75,77,75,73,86,59
103,J. Grealish,26,180,81,England,84,84,Manchester City,46000000,Right,76,76,83,87,46,69,76,36,72,87,78,75,84,81,84,76,32,80,70,79,60,44,81,86,58
104,Carvajal,30,173,73,Spain,84,84,Real Madrid CF,36500000,Right,82,54,77,80,78,79,51,70,49,83,80,84,78,79,82,68,77,85,74,47,85,78,75,72,45
105,S. Savić,31,187,80,Montenegro,84,84,Atlético de Madrid,29000000,Right,64,35,58,58,87,80,34,84,27,67,60,68,58,82,52,43,86,69,83,31,86,87,29,55,37
107,R. Varane,29,191,81,France,84,85,Manchester United,39000000,Right,81,49,64,66,85,80,46,85,42,75,77,84,62,82,39,52,80,67,87,53,78,84,55,59,43
108,W. Ben Yedder,31,170,68,France,84,84,AS Monaco,35500000,Right,81,84,78,88,39,68,87,74,85,88,82,81,91,85,91,84,77,72,68,74,62,44,89,80,85
109,L. Insigne,31,163,59,Italy,84,84,Toronto FC,35000000,Right,84,78,84,89,36,45,76,59,76,90,87,81,90,77,94,76,48,74,35,81,34,26,80,87,87
110,M. Hummels,33,191,94,Germany,84,84,Borussia Dortmund,20000000,Right,53,59,76,72,87,78,57,86,64,78,45,60,60,86,62,71,70,66,87,49,71,87,57,80,68
111,S. de Vrij,30,189,78,Netherlands,84,84,Inter,34500000,Right,68,41,65,69,87,79,25,84,27,73,66,69,61,85,59,65,80,80,79,60,77,87,31,70,41
112,J. Matip,30,194,90,Cameroon,84,84,Liverpool,34500000,Right,61,46,69,71,87,78,36,84,50,74,53,67,55,86,42,66,78,67,82,48,84,86,48,72,42
114,Canales,31,176,65,Spain,84,84,Real Betis Balompié,35000000,Left,83,79,85,82,68,71,78,50,67,83,84,82,83,84,81,78,39,80,71,84,68,77,84,90,80
115,Muniain,29,170,66,Spain,84,84,Athletic Club de Bilbao,41500000,Right,81,77,82,87,51,61,79,43,75,87,84,78,91,81,94,73,72,77,49,78,66,45,82,84,64
116,K. Trippier,31,173,71,England,84,84,Newcastle United,30500000,Right,70,64,82,77,80,72,54,79,58,82,74,66,66,83,79,79,78,86,64,70,73,81,76,80,66
117,L. Bonucci,35,190,85,Italy,84,84,Juventus,11000000,Right,54,59,69,71,85,78,50,83,58,79,53,55,55,81,53,74,90,63,82,65,82,86,38,71,74
118,Á. Di María,34,180,69,Argentina,84,84,Juventus,20000000,Left,79,79,84,87,48,67,76,51,78,87,80,78,91,83,75,83,70,74,61,84,73,42,82,87,73
119,E. Hazard,31,175,74,Belgium,84,84,Real Madrid CF,35000000,Right,83,80,82,87,35,63,78,61,82,87,84,82,85,77,89,82,55,74,61,77,54,41,83,84,87
120,I. Perišić,33,186,80,Croatia,84,84,Tottenham Hotspur,26500000,Right,78,81,79,82,74,78,80,80,81,82,79,78,76,85,75,84,87,84,80,78,65,72,85,76,76
121,E. Džeko,36,193,80,Bosnia and Herzegovina,84,84,Inter,14500000,Right,63,84,71,77,45,75,87,85,79,84,61,65,62,83,55,86,64,69,86,77,58,50,90,74,67
122,G. Chiellini,37,187,85,Italy,84,84,Los Angeles FC,7500000,Left,65,46,60,58,85,83,33,77,45,55,66,65,53,78,57,78,90,63,91,49,87,87,28,50,50
123,R. De Paul,28,180,70,Argentina,84,84,Atlético de Madrid,42000000,Right,78,77,83,82,75,81,76,58,71,85,80,76,78,81,80,80,68,91,80,78,76,79,78,86,66
124,J. Bellingham,19,186,75,England,84,91,Borussia Dortmund,81500000,Right,75,75,78,84,77,80,77,67,71,84,78,73,81,84,79,78,76,89,74,74,85,80,77,84,56
125,F. Chiesa,24,175,70,Italy,84,90,Juventus,66500000,Right,91,81,76,86,48,73,80,50,80,82,91,91,88,86,81,86,53,85,70,84,69,30,84,77,62
126,M. Diaby,22,171,67,France,84,88,Bayer 04 Leverkusen,61500000,Left,93,73,75,87,42,59,80,28,67,85,95,92,92,76,93,73,62,82,44,64,67,48,79,77,50
127,J. Tartt,24,178,84,England,84,91,AFC Richmond,85500000,Right,83,87,80,85,29,74,86,72,83,85,81,85,81,81,77,90,66,78,79,85,58,27,84,81,89
128,Rafael Leão,23,188,81,Portugal,84,90,AC Milan,66500000,Right,91,77,73,86,27,74,80,63,74,86,90,92,82,83,80,80,62,77,80,72,60,24,82,74,63
129,J. Koundé,23,181,75,France,84,89,FC Barcelona,57500000,Right,84,45,64,74,85,78,47,80,32,74,85,83,71,85,74,48,88,76,80,40,75,86,47,62,43
130,Y. Tielemans,25,176,72,Belgium,84,86,Leicester City,52500000,Right,56,80,86,81,70,73,74,67,79,85,58,54,67,84,77,87,68,85,69,87,69,71,80,87,77
131,S. Tonali,22,181,79,Italy,84,90,AC Milan,62500000,Right,81,73,81,79,79,82,69,70,68,83,78,83,81,82,83,79,65,85,81,81,84,81,75,78,64
132,L. Díaz,25,180,73,Colombia,84,87,Liverpool,56000000,Right,91,80,75,87,34,73,80,62,74,87,92,91,88,83,75,84,73,84,69,82,70,25,81,77,63
133,Éder Militão,24,186,78,Brazil,84,89,Real Madrid CF,57500000,Right,86,50,70,72,85,82,48,82,34,74,83,88,70,85,62,62,85,86,79,42,84,86,64,59,60
134,F. Valverde,23,182,78,Uruguay,84,90,Real Madrid CF,66000000,Right,87,74,80,79,78,80,69,59,70,83,82,91,76,84,68,83,62,86,79,81,81,81,78,81,59
135,L. Sané,26,183,80,Germany,84,85,FC Bayern München,49500000,Left,88,81,80,85,38,66,80,72,84,85,89,88,87,82,81,86,64,70,66,80,63,34,81,81,71
136,R. James,22,178,87,England,84,88,Chelsea,57000000,Right,81,70,82,82,80,82,66,71,62,81,79,83,75,81,88,83,75,83,85,69,74,78,77,80,52
137,A. Bastoni,23,190,75,Italy,84,90,Inter,60500000,Left,73,35,69,71,86,82,26,82,35,76,68,77,58,86,57,49,75,81,82,37,84,85,39,57,47
138,K. Havertz,23,189,82,Germany,84,91,Chelsea,84500000,Left,81,79,79,84,45,66,81,80,80,85,76,85,77,84,75,74,75,77,69,78,42,38,82,82,73
139,João Félix,22,181,72,Portugal,84,90,Atlético de Madrid,68500000,Right,83,80,81,88,40,67,79,69,83,88,84,83,88,83,84,80,76,75,62,81,68,40,85,86,68
140,A. Hakimi,23,181,73,Morocco,84,87,Paris Saint-Germain,53500000,Right,92,75,79,80,75,78,75,68,74,82,91,93,82,81,78,80,79,92,72,73,75,78,78,77,60
141,A. Davies,21,185,77,Canada,84,89,FC Bayern München,60500000,Left,94,66,77,85,76,77,64,72,59,84,96,93,86,84,84,74,78,81,75,63,77,78,77,77,60
142,D. Rice,23,185,80,England,84,87,West Ham United,52000000,Right,71,64,74,76,82,83,61,72,50,79,68,74,55,81,67,74,74,90,79,65,84,85,58,79,71
143,M. Mount,23,180,74,England,84,87,Chelsea,57500000,Right,74,81,85,82,55,67,81,59,75,85,76,72,77,84,76,81,54,86,58,83,68,59,82,83,69
144,J. Sancho,22,180,76,England,84,88,Manchester United,61500000,Right,81,74,81,89,36,59,77,38,83,88,84,78,90,81,89,71,51,66,62,65,44,39,81,85,74
145,F. Tomori,24,185,79,England,84,90,AC Milan,60500000,Right,86,40,60,66,86,81,33,83,32,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27
146,F. Kessié,25,183,88,Côte d'Ivoire,84,86,FC Barcelona,47500000,Right,78,76,74,79,82,87,73,68,60,84,77,79,70,81,77,84,72,93,86,78,84,84,74,76,88
147,Oyarzabal,25,181,79,Spain,84,86,Real Sociedad,53000000,Left,79,83,80,83,41,62,85,60,74,85,80,78,79,80,80,80,72,79,57,81,52,29,85,82,84
148,L. Pellegrini,26,186,77,Italy,84,87,Roma,55000000,Right,79,77,83,84,74,78,77,74,74,87,79,79,80,85,82,79,70,90,74,76,74,72,80,87,82
149,W. Ndidi,25,183,74,Nigeria,84,86,Leicester City,47500000,Right,66,62,68,73,85,83,50,70,68,77,64,68,63,87,66,80,89,89,78,69,88,88,64,62,57
150,Marcos Llorente,27,184,74,Spain,84,85,Atlético de Madrid,48000000,Right,88,79,81,82,78,81,80,67,66,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84,65
151,M. Ødegaard,23,178,68,Norway,84,89,Arsenal,63500000,Left,76,75,86,84,58,63,75,52,76,85,78,75,85,74,83,76,46,79,56,77,63,65,79,86,63
152,D. Vlahović,22,190,75,Serbia,84,91,Juventus,86500000,Left,80,85,66,78,28,79,88,77,78,85,77,82,61,85,52,84,68,79,88,82,60,24,88,68,73
153,Diego Carlos,29,186,79,Brazil,83,83,Aston Villa,30500000,Right,76,47,63,67,82,82,32,79,34,71,77,76,62,84,50,73,82,68,87,57,85,83,52,63,41
154,Angeliño,25,171,69,Spain,83,85,TSG Hoffenheim,42000000,Left,78,71,82,84,76,70,70,65,63,84,85,72,85,82,85,80,72,85,60,69,77,80,79,79,55
155,O. Dembélé,25,178,67,France,83,86,FC Barcelona,48000000,Left,93,77,79,87,36,56,75,43,76,85,94,93,90,78,81,83,58,68,51,76,54,36,77,81,75
156,Marco Asensio,26,182,76,Spain,83,84,Real Madrid CF,43000000,Left,82,80,81,83,43,62,78,57,79,87,83,81,80,78,76,86,58,75,63,85,45,45,80,80,62
157,Rúben Neves,25,180,80,Portugal,83,86,Wolverhampton Wanderers,47500000,Right,58,74,86,77,76,73,65,53,82,82,63,54,68,80,72,85,66,79,67,82,83,80,62,87,76
158,Merino,26,189,83,Spain,83,86,Real Sociedad,47000000,Left,73,78,81,82,82,81,79,86,58,85,73,73,75,84,72,84,81,84,79,78,81,84,78,81,60
159,K. Laimer,25,180,72,Austria,83,84,RB Leipzig,38500000,Right,84,68,78,79,81,78,69,69,60,80,82,85,76,80,74,72,73,90,69,68,87,86,73,78,54
160,P. Kimpembe,26,189,80,France,83,86,Paris Saint-Germain,42000000,Left,80,43,68,69,83,86,33,80,33,78,79,80,68,80,59,70,79,79,88,37,90,84,47,64,52
161,Fabián,26,189,70,Spain,83,85,Paris Saint-Germain,44500000,Left,61,79,80,83,74,72,79,67,67,88,67,56,71,81,67,77,46,90,67,85,68,76,81,84,67
162,F. Mendy,27,180,73,France,83,84,Real Madrid CF,38000000,Left,92,64,77,78,78,84,63,72,50,76,91,92,81,82,79,69,79,90,83,64,82,79,80,75,49
163,Ronaldo Cabrais,30,177,75,Brazil,83,83,Palmeiras,35000000,Right,88,77,83,84,35,72,74,64,76,83,90,87,86,84,71,82,69,88,68,78,62,40,82,83,77
164,Gabriel Jesus,25,175,73,Brazil,83,86,Arsenal,48500000,Right,84,82,74,86,40,74,83,78,78,85,87,82,91,85,87,84,79,82,69,77,75,32,86,77,75
166,V. Osimhen,23,185,78,Nigeria,83,89,Napoli,58000000,Right,90,82,65,78,40,81,88,80,76,80,86,93,78,84,68,79,90,81,85,72,69,34,85,69,75
167,P. Højbjerg,26,187,84,Denmark,83,85,Tottenham Hotspur,40500000,Right,55,73,77,77,80,82,68,65,64,80,56,54,65,84,67,85,65,87,79,80,87,82,68,73,56
168,C. Romero,24,185,79,Argentina,83,88,Tottenham Hotspur,49500000,Right,73,46,57,65,85,82,48,83,52,68,75,72,67,82,68,51,85,74,82,36,90,82,43,41,40
169,Raphinha,25,176,68,Brazil,83,86,FC Barcelona,48000000,Left,91,79,77,85,50,73,77,45,72,84,90,91,88,83,79,83,74,86,65,79,76,55,82,77,78
170,Carlos Soler,25,180,76,Spain,83,88,Paris Saint-Germain,53000000,Right,80,77,83,80,71,72,78,56,66,81,78,82,76,83,73,77,58,84,71,76,65,74,78,85,86
172,Pau Torres,25,191,80,Spain,83,89,Villarreal CF,50500000,Left,73,38,67,70,84,81,28,85,41,79,70,76,68,80,52,58,80,80,82,40,79,83,42,67,42
173,C. Gakpo,23,189,76,Netherlands,83,87,PSV,52000000,Right,87,82,77,84,41,74,82,60,75,84,86,87,81,81,71,86,75,79,77,83,60,39,81,79,68
174,R. Araujo,23,192,91,Uruguay,83,89,FC Barcelona,52000000,Right,77,51,65,61,83,83,56,85,38,66,68,84,56,81,55,61,87,74,86,35,84,81,56,59,43
175,R. Kent,40,182,82,England,83,83,AFC Richmond,0,Left,58,71,78,75,79,83,66,52,67,78,53,62,63,83,66,86,61,86,79,70,95,79,72,83,64
